"Time","ec"
1437721200005,85
1437721200013,635
1437721200021,503
1437721200029,5
1437721200037,-217
1437721200045,-310
1437721200052,-376
1437721200060,-413
1437721200068,-420
1437721200076,-432
1437721200084,-437
1437721200092,-442
1437721200100,-437
1437721200107,-442
1437721200115,-439
1437721200123,-432
1437721200131,-444
1437721200139,-437
1437721200147,-415
1437721200155,-454
1437721200163,-479
1437721200170,-454
1437721200178,-449
1437721200186,-457
1437721200194,-464
1437721200202,-459
1437721200210,-464
1437721200218,-466
1437721200226,-464
1437721200233,-452
1437721200241,-452
1437721200249,-442
1437721200257,-425
1437721200265,-430
1437721200273,-425
1437721200281,-422
1437721200289,-469
1437721200296,-452
1437721200304,-430
1437721200312,-444
1437721200320,-408
1437721200328,-403
1437721200336,-422
1437721200344,-417
1437721200351,-400
1437721200359,-398
1437721200367,-413
1437721200375,-432
1437721200383,-432
1437721200391,-422
1437721200399,-403
1437721200407,-388
1437721200414,-374
1437721200422,-386
1437721200430,-378
1437721200438,-356
1437721200446,-359
1437721200454,-369
1437721200462,-366
1437721200470,-356
1437721200477,-383
1437721200485,-378
1437721200493,-371
1437721200501,-398
1437721200509,-398
1437721200517,-405
1437721200525,-398
1437721200532,-400
1437721200540,-393
1437721200548,-388
1437721200556,-393
1437721200564,-391
1437721200572,-371
1437721200580,-369
1437721200588,-378
1437721200595,-376
1437721200603,-366
1437721200611,-356
1437721200619,-354
1437721200627,-342
1437721200635,-349
1437721200643,-354
1437721200651,-347
1437721200658,-354
1437721200666,-347
1437721200674,-344
1437721200682,-354
1437721200690,-359
1437721200698,-374
1437721200706,-356
1437721200714,-342
1437721200722,-337
1437721200729,-325
1437721200737,-322
1437721200745,-330
1437721200753,-327
1437721200761,-317
1437721200769,-300
1437721200777,-317
1437721200785,-317
1437721200793,-303
1437721200800,-313
1437721200808,-332
1437721200816,-381
1437721200824,-444
1437721200832,-376
1437721200840,59
1437721200848,654
1437721200856,630
1437721200864,161
1437721200871,-76
1437721200879,-188
1437721200887,-269
1437721200895,-308
1437721200903,-322
1437721200911,-322
1437721200919,-325
1437721200927,-344
