"","x"
"1",146
"2",159
"3",168
"4",176
"5",176
"6",178
"7",164
"8",146
"9",134
"10",117
"11",107
"12",100
"13",88
"14",83
"15",83
"16",85
"17",83
"18",83
"19",85
"20",88
"21",95
"22",93
"23",93
"24",98
"25",100
"26",103
"27",110
"28",117
"29",117
"30",117
"31",120
"32",117
"33",117
"34",115
"35",112
"36",112
"37",115
"38",107
"39",110
"40",110
"41",103
"42",105
"43",107
"44",112
"45",112
"46",115
"47",117
"48",125
"49",127
"50",127
"51",127
"52",125
"53",125
"54",125
"55",132
"56",132
"57",132
"58",132
"59",122
"60",115
"61",122
"62",120
"63",117
"64",117
"65",110
"66",110
"67",115
"68",115
"69",122
"70",120
"71",117
"72",120
"73",110
"74",110
"75",110
"76",107
"77",110
"78",115
"79",122
"80",125
"81",129
"82",134
"83",132
"84",125
"85",122
"86",122
"87",127
"88",125
"89",117
"90",117
"91",112
"92",93
"93",-5
"94",-51
"95",166
"96",835
"97",1331
"98",977
"99",430
"100",225
"101",161
"102",98
"103",59
"104",56
"105",61
"106",59
"107",68
"108",68
"109",68
"110",71
"111",71
"112",68
"113",68
"114",68
"115",63
"116",61
"117",63
"118",66
"119",66
"120",66
"121",66
"122",66
"123",68
"124",66
"125",68
"126",78
"127",81
"128",90
"129",103
"130",112
"131",132
"132",146
"133",151
"134",171
"135",183
"136",195
"137",193
"138",186
"139",173
"140",161
"141",149
"142",139
"143",134
"144",129
"145",132
"146",127
"147",127
"148",129
"149",127
"150",129
"151",127
"152",127
"153",129
"154",127
"155",125
"156",122
"157",122
"158",122
"159",125
"160",127
"161",132
"162",132
"163",132
"164",129
"165",125
"166",120
"167",117
"168",125
"169",127
"170",129
"171",129
"172",125
"173",129
"174",127
"175",125
"176",129
"177",137
"178",134
"179",134
"180",137
"181",137
"182",137
"183",132
"184",132
"185",125
"186",127
"187",127
"188",127
"189",122
"190",122
"191",122
"192",120
"193",112
"194",110
"195",107
"196",105
"197",98
"198",95
"199",95
"200",95
"201",98
"202",93
"203",95
"204",98
"205",95
"206",95
"207",100
"208",103
"209",105
"210",107
"211",107
"212",103
"213",103
"214",95
"215",93
"216",85
"217",76
"218",78
"219",90
"220",110
"221",112
